Source,Target,Label,JsType
4284,"","babel-polyfill","entry"
4284,"","babel-polyfill","entry"
4284,"","babel-polyfill","entry"
4284,"","babel-polyfill","entry"
2576,"","C:\\Users\\IS\\Desktop\\work\\lm\\front\\magfront--cprojects\\frames\\public\\store-location\\index.js","entry"
7142,"","C:\\Users\\IS\\Desktop\\work\\lm\\front\\magfront--cprojects\\frames\\public\\auth-router\\index.js","entry"
6656,"","C:\\Users\\IS\\Desktop\\work\\lm\\front\\magfront--cprojects\\frames\\public\\customer-auth\\index.js","entry"
7693,"","C:\\Users\\IS\\Desktop\\work\\lm\\front\\magfront--cprojects\\frames\\public\\store-set\\index.js","entry"
7748,4284,"core-js/shim","cjs require"
9068,4284,"regenerator-runtime/runtime","cjs require"
9068,9068,"","cjs self exports reference"
9068,9068,"","cjs self exports reference"
9068,9068,"","cjs self exports reference"
4271,4284,"core-js/fn/regexp/escape","cjs require"
"","","./services/Executor","harmony side effect evaluation"
"","","./services/Executor","harmony import specifier"
"","","./Executor","harmony side effect evaluation"
"","","./Executor","harmony import specifier"
"","","./styles.scss","harmony side effect evaluation"
"","","./services/Executor","harmony side effect evaluation"
"","","./services/Executor","harmony import specifier"
"","","./styles.scss","harmony side effect evaluation"
"","","./services/Executor","harmony side effect evaluation"
"","","./services/Executor","harmony import specifier"
"","","./services/Executor","harmony side effect evaluation"
"","","./services/Executor","harmony import specifier"
6316,7748,"./modules/es6.symbol","cjs require"
8815,4271,"../../modules/_core","cjs export require"
8815,8815,"","cjs self exports reference"
8815,5411,"./_core","cjs require"
8815,1659,"./_core","cjs require"
8815,5603,"./_core","cjs full require"
8815,442,"./_core","cjs require"
8815,7897,"./_core","cjs require"
8815,6561,"./_core","cjs full require"
8815,9475,"./_core","cjs require"
8815,6607,"./_core","cjs require"
8815,3457,"./_core","cjs require"
8815,7748,"./modules/_core","cjs export require"
6226,7748,"./modules/es6.object.create","cjs require"
8145,7748,"./modules/es6.object.define-property","cjs require"
7216,7748,"./modules/es6.object.define-properties","cjs require"
703,7748,"./modules/es6.object.get-own-property-descriptor","cjs require"
5058,7748,"./modules/es6.object.get-prototype-of","cjs require"
1894,7748,"./modules/es6.object.keys","cjs require"
2037,7748,"./modules/es6.object.get-own-property-names","cjs require"
6138,7748,"./modules/es6.object.freeze","cjs require"
9115,7748,"./modules/es6.object.seal","cjs require"
911,7748,"./modules/es6.object.prevent-extensions","cjs require"
8446,7748,"./modules/es6.object.is-frozen","cjs require"
1129,7748,"./modules/es6.object.is-sealed","cjs require"
