Source,Target,Label
"../../../modules/Presales/domains/interest/stores/create-interest/create-interest.selectors.js","../../../modules/Presales/domains/interest/stores/create-interest/helpers/get-is-lead-can-be-created-in-shop.helper.js","../../../modules/Presales/domains/interest/stores/create-interest/helpers/get-is-lead-can-be-created-in-shop.helper.js"
"../../../modules/Presales/domains/interest/stores/create-interest/helpers/get-is-lead-can-be-created-in-shop.helper.js","../../../modules/Presales/domains/interest/stores/create-interest/helpers/get-is-shop-is-dark-store.helper.js","../../../modules/Presales/domains/interest/stores/create-interest/helpers/get-is-shop-is-dark-store.helper.js"
"../../../modules/Presales/domains/interest/stores/create-interest/helpers/get-is-lead-can-be-created-in-shop.helper.js","../../../modules/Presales/domains/interest/stores/create-interest/helpers/get-is-shop-open.helper.js","../../../modules/Presales/domains/interest/stores/create-interest/helpers/get-is-shop-open.helper.js"
"../../../store/responsibles/responsibles.reducer.js","../../../store/responsibles/responsibles.actionTypes.js","../../../store/responsibles/responsibles.actionTypes.js"
"../../../store/responsibles/responsibles.reducer.js","../../../store/responsibles/responsibles.types.js","../../../store/responsibles/responsibles.types.js"
"../../../store/responsibles/responsibles.selectors.js","../../../store/responsibles/responsibles.types.js","../../../store/responsibles/responsibles.types.js"
"__tests__/client-card.test.js","client-card.component.js","client-card.component.js"
"client-header/client-dropdown/create-invoice-modal/__tests__/money-input-formatter.helper.test.js","client-header/client-dropdown/create-invoice-modal/money-input-formatter.helper.js","client-header/client-dropdown/create-invoice-modal/money-input-formatter.helper.js"
"client-header/client-dropdown/create-invoice-modal/create-invoice.component.js","client-header/client-dropdown/create-invoice-modal/use-money-input.hook.js","client-header/client-dropdown/create-invoice-modal/use-money-input.hook.js"
"client-header/client-dropdown/create-invoice-modal/use-money-input.hook.js","client-header/client-dropdown/create-invoice-modal/money-input-formatter.helper.js","client-header/client-dropdown/create-invoice-modal/money-input-formatter.helper.js"
"client-header/client-header.component.js","client-header/client-data/index.js","client-header/client-data/index.js"
"client-header/client-header.component.js","client-header/client-dropdown/index.js","client-header/client-dropdown/index.js"
"client-header/client-header.component.js","client-header/client-header-skeleton.component.js","client-header/client-header-skeleton.component.js"
"client-header/client-header.component.js","client-header/client-header.helper.js","client-header/client-header.helper.js"
"client-header/client-header.component.js","client-header/client-header.module.scss","client-header/client-header.module.scss"
"client-header/client-header.component.js","client-header/client-status/client-update-organization-active-status.component.js","client-header/client-status/client-update-organization-active-status.component.js"
"client-header/client-header.container.js","../../../store/selectors/user.js","../../../store/selectors/user.js"
"client-header/client-header.container.js","../client-drawer/store/client-drawer.selectors.js","../client-drawer/store/client-drawer.selectors.js"
"client-header/client-header.container.js","client-header/client-header.component.js","client-header/client-header.component.js"
"client-header/client-header.container.js","store/client-card.action-creators.js","store/client-card.action-creators.js"
"client-header/client-header.container.js","store/client-card.selectors.js","store/client-card.selectors.js"
